time V0 V1 dEc dEp dEtot
0.000000 20.000000 20.000000 0.000000 0.000000 0.000000
0.001000 20.000000 19.999428 -1.166199 0.000142 -1.166057
0.002000 19.999428 19.998856 -1.166415 0.000458 -1.165956
0.003000 19.998856 19.998284 -1.166630 0.000773 -1.165856
0.004000 19.998284 19.997711 -1.166844 0.001088 -1.165756
0.005000 19.997711 19.997139 -1.167058 0.001402 -1.165656
0.006000 19.997139 19.996566 -1.167272 0.001715 -1.165556
0.007000 19.996566 19.995993 -1.167484 0.002028 -1.165456
0.008000 19.995993 19.995420 -1.167696 0.002341 -1.165356
0.009000 19.995420 19.994847 -1.167908 0.002652 -1.165256
0.010000 19.994847 19.994274 -1.168119 0.002963 -1.165155
0.011000 19.994274 19.993701 -1.168329 0.003274 -1.165055
0.012000 19.993701 19.993128 -1.168539 0.003584 -1.164955
0.013000 19.993128 19.992554 -1.168748 0.003893 -1.164855
0.014000 19.992554 19.991981 -1.168956 0.004202 -1.164755
0.015000 19.991981 19.991407 -1.169164 0.004510 -1.164654
0.016000 19.991407 19.990833 -1.169372 0.004818 -1.164554
0.017000 19.990833 19.990259 -1.169578 0.005125 -1.164454
0.018000 19.990259 19.989685 -1.169784 0.005431 -1.164353
0.019000 19.989685 19.989111 -1.169990 0.005737 -1.164253
0.020000 19.989111 19.988537 -1.170195 0.006042 -1.164153
0.021000 19.988537 19.987962 -1.170399 0.006347 -1.164052
0.022000 19.987962 19.987388 -1.170603 0.006651 -1.163952
0.023000 19.987388 19.986813 -1.170806 0.006954 -1.163852
0.024000 19.986813 19.986238 -1.171008 0.007257 -1.163751
0.025000 19.986238 19.985663 -1.171210 0.007559 -1.163651
0.026000 19.985663 19.985088 -1.171411 0.007861 -1.163550
0.027000 19.985088 19.984513 -1.171612 0.008162 -1.163450
0.028000 19.984513 19.983938 -1.171812 0.008462 -1.163350
0.029000 19.983938 19.983363 -1.172011 0.008762 -1.163249
0.030000 19.983363 19.982787 -1.172210 0.009061 -1.163149
0.031000 19.982787 19.982212 -1.172408 0.009360 -1.163048
0.032000 19.982212 19.981636 -1.172606 0.009658 -1.162948
0.033000 19.981636 19.981060 -1.172803 0.009956 -1.162847
0.034000 19.981060 19.980484 -1.172999 0.010253 -1.162747
0.035000 19.980484 19.979908 -1.173195 0.010549 -1.162646
0.036000 19.979908 19.979332 -1.173390 0.010845 -1.162545
0.037000 19.979332 19.978756 -1.173585 0.011140 -1.162445
0.038000 19.978756 19.978179 -1.173778 0.011434 -1.162344
0.039000 19.978179 19.977603 -1.173972 0.011728 -1.162244
0.040000 19.977603 19.977026 -1.174165 0.012021 -1.162143
0.041000 19.977026 19.976450 -1.174357 0.012314 -1.162042
0.042000 19.976450 19.975873 -1.174548 0.012606 -1.161942
0.043000 19.975873 19.975296 -1.174739 0.012898 -1.161841
0.044000 19.975296 19.974719 -1.174929 0.013189 -1.161740
0.045000 19.974719 19.974142 -1.175119 0.013479 -1.161640
0.046000 19.974142 19.973565 -1.175308 0.013769 -1.161539
0.047000 19.973565 19.972987 -1.175497 0.014058 -1.161438
0.048000 19.972987 19.972410 -1.175684 0.014347 -1.161338
0.049000 19.972410 19.971832 -1.175872 0.014635 -1.161237
0.050000 19.971832 19.971254 -1.176058 0.014922 -1.161136
0.051000 19.971254 19.970677 -1.176244 0.015209 -1.161035
0.052000 19.970677 19.970099 -1.176430 0.015495 -1.160935
0.053000 19.970099 19.969521 -1.176615 0.015781 -1.160834
0.054000 19.969521 19.968943 -1.176799 0.016066 -1.160733
0.055000 19.968943 19.968364 -1.176982 0.016350 -1.160632
0.056000 19.968364 19.967786 -1.177165 0.016634 -1.160531
0.057000 19.967786 19.967208 -1.177348 0.016917 -1.160431
0.058000 19.967208 19.966629 -1.177530 0.017200 -1.160330
0.059000 19.966629 19.966051 -1.177711 0.017482 -1.160229
