model tBirth CentreX CentreY CentreZ zi w_star lifetime ksi
1 0 -381 -742 0 1200 2.69 600 0.157631
1 0 412 797 0 1200 2.53 627 0.258167
1 0 672 -159 0 1200 1.64 882 0.124296
1 0 -587 790 0 1200 1.48 960 0.116383
1 0 0 0 0 1200 2.69 600 0.291793
1 0 370 -783 0 1200 2.56 622 0.274714
1 0 -451 284 0 1200 1.97 761 0.115254
1 0 768 270 0 1200 2.56 622 0.164802
1 0 -790 -602 0 1200 1.79 821 0.197809
1 0 192 328 0 1200 2.56 622 0.167346
1 700 552 -645 0 1200 2.44 645 0.199268
1 700 505 775 0 1200 2.69 600 0.273332
1 700 251 -333 0 1200 1.48 960 0.109028
1 700 79 -709 0 1200 2.25 686 0.172518
1 700 -457 -185 0 1200 2.25 686 0.293767
1 700 574 230 0 1200 2.56 622 0.217715
1 800 -179 404 0 1200 1.14 1200 0.271478
1 900 -631 -778 0 1200 2.53 627 0.149199
1 900 -651 215 0 1200 2.38 657 0.129633
